source_row,review_id,source_row_index,scopus_id,doi,title,journal,publication_year,design_title,design_abstract,design_strict,design_keywords,design_combined,design_combined_unambiguous,is_methodological,is_excluded_sensitivity,is_policy_analysis_eval,is_methods_qe,llm_policy_claim,keywords,manual_check1,manual_check2,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
0,DES-001,18494,SCOPUS_ID:84879781393,10.2105/ajph.2013.301458,A randomized trial of a hepatitis care coordination model in methadone maintenance treatment,American Journal Of Public Health,2013,Experimental,Experimental,Experimental,Other/None,Experimental,Experimental,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,0.08,FALSE,no,0,0.99,1680,50,7.056e-5,411.277,,typesafe/jev-1.13-20260917,gen-dec-1789843826-m0iLmB6J7xLuWlskEwHh,,1d16b25dcca8,2026-09-19T18:50:35+0000
1,DES-002,11590,SCOPUS_ID:85046675352,10.1016/j.amepre.2018.02.005,State Legislative Approach to Enumerating Behavioral Health Workforce Shortages: Lessons Learned in New Mexico,American Journal Of Preventive Medicine,2018,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,0.5,TRUE,no,0.45,0.11,1720,50,7.224e-5,324.561,,typesafe/jev-1.13-20260917,gen-dec-1789843826-RZVZiOLK5ExM09mjJWlL,,1d16b25dcca8,2026-09-19T18:50:35+0000
2,DES-003,2012,SCOPUS_ID:2642668471,10.1093/oxfordjournals.aje.a009467,Differential misclassification and the assessment of gene-environment interactions in case-control studies,American Journal Of Epidemiology,1998,Other/None,Case-control,Case-control,Case-control,Case-control,Case-control,TRUE,TRUE,FALSE,TRUE,FALSE,Case-control studies; Epidemiologic methods; Misclassification,,,TRUE,0.04,FALSE,no,0.01,0.99,1657,50,6.9594e-5,1350.511,,typesafe/jev-1.13-20260917,gen-dec-1789843827-43mJhymgncyQMMlxmrgu,,1d16b25dcca8,2026-09-19T18:50:35+0000
3,DES-004,33913,SCOPUS_ID:85070813724,10.1093/ije/dyz060,Unmasking herd protection by an oral cholera vaccine in a cluster-randomized trial,International Journal Of Epidemiology,2019,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,FALSE,FALSE,FALSE,FALSE,FALSE,Cholera; cluster-randomized trial; fried-egg design; vaccine effectiveness,,,TRUE,0.12,FALSE,no,0.04,0.92,1896,50,7.9632e-5,1207.972,,typesafe/jev-1.13-20260917,gen-dec-1789843827-3jp0kpdqwVfI9sFTPJdy,,1d16b25dcca8,2026-09-19T18:50:35+0000
4,DES-005,14023,SCOPUS_ID:0027233773,10.2105/ajph.83.5.711,Treatment for glaucoma: Adherence by the elderly,American Journal Of Public Health,1993,Other/None,Cohort,Cohort,Other/None,Cohort,Cohort,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,0.66,TRUE,yes,0.82,0.64,1636,50,6.8712e-5,1250.053,,typesafe/jev-1.13-20260917,gen-dec-1789843827-VYo8ugc61XWJ4XcsVzQr,,1d16b25dcca8,2026-09-19T18:50:35+0000
5,DES-006,1230,SCOPUS_ID:0029034410,10.1093/oxfordjournals.aje.a117619,Psychotropic drugs and risk of recurrent falls in ambulatory nursing home residents,American Journal Of Epidemiology,1995,Other/None,Cohort,Cohort,Other/None,Cohort,Cohort,FALSE,FALSE,FALSE,FALSE,TRUE,Accidental falls; Aged; Nursing homes; Psychotropic drugs,,,TRUE,0.86,TRUE,yes,0.98,0.96,2028,50,8.5176e-5,1312.078,,typesafe/jev-1.13-20260917,gen-dec-1789843827-P0imub3eAyFMsUiasKMi,,1d16b25dcca8,2026-09-19T18:50:35+0000
6,DES-007,41092,SCOPUS_ID:12144290469,10.1016/j.ypmed.2003.11.005,Focus groups of Y-K Delta Alaska Natives: Attitudes toward tobacco use and tobacco dependence interventions,Preventive Medicine,2004,Other/None,Other/None,Other/None,Qualitative,Qualitative,Qualitative,FALSE,FALSE,FALSE,FALSE,FALSE,Focus group; Intervention; Tobacco cessation; Tobacco use,,,TRUE,0.4,FALSE,no,0.33,0.33,1656,50,6.9552e-5,1590.841,,typesafe/jev-1.13-20260917,gen-dec-1789843827-7i3ZYik9OGPtqIafnUDN,,1d16b25dcca8,2026-09-19T18:50:35+0000
7,DES-008,34541,SCOPUS_ID:85166442516,10.1093/ije/dyad054,A longitudinal study evaluating adverse childhood experiences and obesity in adulthood using the Canadian Longitudinal Study on Aging (CLSA),International Journal Of Epidemiology,2023,Cohort,Cohort,Cohort,Other/None,Cohort,Cohort,FALSE,FALSE,FALSE,FALSE,FALSE,Adverse childhood experiences; CLSA; nutrition; obesity; stress,,,TRUE,0.05,FALSE,no,0,1,1740,50,7.308e-5,1442.838,,typesafe/jev-1.13-20260917,gen-dec-1789843827-fiBO0CGB5gKbu2K4MKMP,,1d16b25dcca8,2026-09-19T18:50:35+0000
8,DES-009,28429,SCOPUS_ID:84904963525,10.1093/eurpub/cku014,Association between economic fluctuations and road mortality in OECD countries,European Journal Of Public Health,2014,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,FALSE,TRUE,FALSE,TRUE,FALSE,,,,TRUE,0.02,FALSE,no,0,1,1481,50,6.2202e-5,1250.1409999999998,,typesafe/jev-1.13-20260917,gen-dec-1789843827-ZPAyoRjMduE7yQkUDGh8,,1d16b25dcca8,2026-09-19T18:50:35+0000
9,DES-010,28971,SCOPUS_ID:85076307058,10.1093/eurpub/ckz024,The influence of patient case mix on public health area statistics for cancer stage at diagnosis: A cross-sectional study,European Journal Of Public Health,2019,Cross-sectional,Other/None,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,FALSE,FALSE,FALSE,FALSE,TRUE,,,,TRUE,0.84,TRUE,yes,0.96,0.92,1656,50,6.9552e-5,1229.1209999999999,,typesafe/jev-1.13-20260917,gen-dec-1789843827-FwWM0t4ffraOxC5NmY7P,,1d16b25dcca8,2026-09-19T18:50:35+0000
