country,n,deepseek_rate_pct,jev_rate_pct,agreement_pct,kappa
NORWAY,599,12,14,97,0.867
DENMARK,1019,14.1,17.3,96.1,0.852
JAPAN,535,16.3,17.9,97.2,0.901
SWEDEN,1518,17.5,20.4,96,0.872
GERMANY,698,21.2,23.9,96.4,0.898
FINLAND,789,21.3,25,94.8,0.854
NETHERLANDS,1679,22.6,27.1,94,0.839
ITALY,864,23.1,27,94.8,0.862
FRANCE,1118,24.1,28,94.5,0.856
SPAIN,798,25.3,29.4,95.1,0.877
UNITED KINGDOM,4546,25.7,30.6,92.9,0.825
CHINA,569,26.9,29.9,93.1,0.832
UNITED STATES,23989,26.9,33.4,91.5,0.8
CANADA,1960,27.4,31.8,93,0.831
AUSTRALIA,1338,30.3,36.8,91.3,0.807
