comparison,n,agreement_pct,agreement_ci,kappa,kappa_ci,sensitivity,specificity,ppv,npv,prevalence_ref_pct,prevalence_pred_pct,tp,fp,fn,tn
dev400: Jev noul vs DeepSeek,400,89.2,"(86.2, 92.2)",0.758,"(0.685, 0.820)",0.982,0.858,0.727,0.992,27.8,37.5,109,41,2,248
dev400: Jev choice vs DeepSeek,400,89.5,"(86.5, 92.5)",0.764,"(0.697, 0.825)",0.991,0.858,0.728,0.996,27.8,37.8,110,41,1,248
gold: DeepSeek vs adjudicated gold standard,204,92.6,"(89.2, 96.1)",0.803,"(0.704, 0.891)",0.956,0.918,0.768,0.986,22.1,27.5,43,13,2,146
gold: Jev noul vs adjudicated gold standard,204,92.6,"(88.7, 96.1)",0.794,"(0.692, 0.889)",0.889,0.937,0.8,0.968,22.1,24.5,40,10,5,149
gold: Jev choice vs adjudicated gold standard,204,92.2,"(88.2, 95.6)",0.782,"(0.680, 0.878)",0.889,0.931,0.784,0.967,22.1,25.0,40,11,5,148
gold: DeepSeek vs gold standard excl. non-empirical/truncated,197,92.9,"(88.8, 96.4)",0.805,"(0.699, 0.898)",0.952,0.923,0.769,0.986,21.3,26.4,40,12,2,143
gold: Jev noul vs gold standard excl. non-empirical/truncated,197,92.9,"(88.8, 95.9)",0.799,"(0.685, 0.885)",0.905,0.935,0.792,0.973,21.3,24.4,38,10,4,145
gold: Jev choice vs gold standard excl. non-empirical/truncated,197,92.4,"(88.3, 95.9)",0.786,"(0.669, 0.879)",0.905,0.929,0.776,0.973,21.3,24.9,38,11,4,144
gold: DeepSeek vs reviewer DB (author 1),204,91.2,"(87.3, 95.1)",0.765,"(0.660, 0.865)",0.913,0.911,0.75,0.973,22.5,27.5,42,14,4,144
gold: Jev noul vs reviewer DB (author 1),204,91.2,"(87.3, 95.1)",0.755,"(0.641, 0.858)",0.848,0.93,0.78,0.955,22.5,24.5,39,11,7,147
gold: Jev choice vs reviewer DB (author 1),204,90.7,"(86.8, 94.6)",0.743,"(0.627, 0.849)",0.848,0.924,0.765,0.954,22.5,25.0,39,12,7,146
gold: DeepSeek vs reviewer EC (author 5),204,92.6,"(89.2, 96.1)",0.803,"(0.704, 0.891)",0.956,0.918,0.768,0.986,22.1,27.5,43,13,2,146
gold: Jev noul vs reviewer EC (author 5),204,92.6,"(88.7, 96.1)",0.794,"(0.692, 0.889)",0.889,0.937,0.8,0.968,22.1,24.5,40,10,5,149
gold: Jev choice vs reviewer EC (author 5),204,92.2,"(88.2, 95.6)",0.782,"(0.680, 0.878)",0.889,0.931,0.784,0.967,22.1,25.0,40,11,5,148
gold: DeepSeek vs reviewer MW (author 2),104,95.2,"(90.4, 99.0)",0.882,"(0.760, 0.976)",0.931,0.96,0.9,0.973,27.9,28.8,27,3,2,72
gold: Jev noul vs reviewer MW (author 2),104,94.2,"(89.4, 98.1)",0.853,"(0.731, 0.954)",0.862,0.973,0.926,0.948,27.9,26.0,25,2,4,73
gold: Jev choice vs reviewer MW (author 2),104,93.3,"(88.5, 98.1)",0.831,"(0.693, 0.944)",0.862,0.96,0.893,0.947,27.9,26.9,25,3,4,72
gold: Jev noul vs DeepSeek,204,93.1,"(89.2, 96.6)",0.822,"(0.724, 0.904)",0.821,0.973,0.92,0.935,27.5,24.5,46,4,10,144
gold: Jev choice vs DeepSeek,204,93.6,"(90.2, 96.6)",0.835,"(0.740, 0.917)",0.839,0.973,0.922,0.941,27.5,25.0,47,4,9,144
strat400: DeepSeek vs adjudicated manual label,400,86.0,"(82.8, 89.2)",0.655,"(0.574, 0.734)",0.661,0.952,0.866,0.858,31.8,24.2,84,13,43,260
strat400: Jev noul vs adjudicated manual label,400,90.0,"(87.0, 92.8)",0.765,"(0.694, 0.828)",0.811,0.941,0.866,0.915,31.8,29.8,103,16,24,257
strat400: Jev choice vs adjudicated manual label,400,90.5,"(87.5, 93.2)",0.778,"(0.703, 0.839)",0.827,0.941,0.868,0.921,31.8,30.2,105,16,22,257
strat400: DeepSeek vs reviewer DB (blinded),400,83.2,"(79.8, 86.8)",0.611,"(0.525, 0.690)",0.603,0.965,0.907,0.809,36.5,24.2,88,9,58,245
strat400: Jev noul vs reviewer DB (blinded),400,87.2,"(83.5, 90.2)",0.714,"(0.631, 0.784)",0.733,0.953,0.899,0.861,36.5,29.8,107,12,39,242
strat400: Jev choice vs reviewer DB (blinded),400,87.8,"(84.2, 90.8)",0.726,"(0.647, 0.795)",0.747,0.953,0.901,0.867,36.5,30.2,109,12,37,242
strat400: DeepSeek vs reviewer EC (blinded),400,85.8,"(82.2, 89.0)",0.643,"(0.556, 0.718)",0.664,0.942,0.835,0.865,30.5,24.2,81,16,41,262
strat400: Jev noul vs reviewer EC (blinded),400,89.2,"(86.2, 92.0)",0.745,"(0.670, 0.811)",0.811,0.928,0.832,0.918,30.5,29.8,99,20,23,258
strat400: Jev choice vs reviewer EC (blinded),400,89.8,"(86.8, 92.5)",0.758,"(0.682, 0.824)",0.828,0.928,0.835,0.925,30.5,30.2,101,20,21,258
strat400: reviewer EC vs reviewer DB (human-human),400,94.0,"(91.8, 96.0)",0.866,"(0.816, 0.912)",0.836,1.0,1.0,0.914,36.5,30.5,122,0,24,254
strat400: Jev noul vs DeepSeek,400,93.5,"(91.0, 95.8)",0.836,"(0.769, 0.890)",0.979,0.921,0.798,0.993,24.2,29.8,95,24,2,279
