source_row,review_id,source_row_index,scopus_id,doi,title,journal,publication_year,design_title,design_abstract,design_strict,design_keywords,design_combined,design_combined_unambiguous,is_methodological,is_excluded_sensitivity,is_policy_analysis_eval,is_methods_qe,llm_policy_claim,keywords,manual_check1,manual_check2,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
0,DES-001,18494,SCOPUS_ID:84879781393,10.2105/ajph.2013.301458,A randomized trial of a hepatitis care coordination model in methadone maintenance treatment,American Journal Of Public Health,2013,Experimental,Experimental,Experimental,Other/None,Experimental,Experimental,False,False,False,False,False,,,,True,0.07,False,no,0.01,0.99,1680,50,7.056e-05,659.3155830050819,1,typesafe/jev-1.13-20260917,gen-dec-1789842875-K8D4M7QiO28x6SjUfyYP,,1d16b25dcca8,2026-09-19T18:34:35+00:00
1,DES-002,11590,SCOPUS_ID:85046675352,10.1016/j.amepre.2018.02.005,State Legislative Approach to Enumerating Behavioral Health Workforce Shortages: Lessons Learned in New Mexico,American Journal Of Preventive Medicine,2018,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,False,False,False,False,False,,,,True,0.48,False,no,0.42,0.16,1720,50,7.224e-05,693.6254999891389,1,typesafe/jev-1.13-20260917,gen-dec-1789842875-G22FJTDPfFUCKVxgMrbC,,1d16b25dcca8,2026-09-19T18:34:35+00:00
2,DES-003,2012,SCOPUS_ID:2642668471,10.1093/oxfordjournals.aje.a009467,Differential misclassification and the assessment of gene-environment interactions in case-control studies,American Journal Of Epidemiology,1998,Other/None,Case-control,Case-control,Case-control,Case-control,Case-control,True,True,False,True,False,Case-control studies; Epidemiologic methods; Misclassification,,,True,0.04,False,no,0.0,0.99,1657,50,6.9594e-05,1545.9152919938788,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-a5YvmscC44Ty5LhTy6SD,,1d16b25dcca8,2026-09-19T18:34:36+00:00
3,DES-004,33913,SCOPUS_ID:85070813724,10.1093/ije/dyz060,Unmasking herd protection by an oral cholera vaccine in a cluster-randomized trial,International Journal Of Epidemiology,2019,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,False,False,False,False,False,Cholera; cluster-randomized trial; fried-egg design; vaccine effectiveness,,,True,0.14,False,no,0.05,0.89,1896,50,7.9632e-05,680.8633749897126,1,typesafe/jev-1.13-20260917,gen-dec-1789842875-CxnJyIWmNwSNamp15MGh,,1d16b25dcca8,2026-09-19T18:34:35+00:00
4,DES-005,14023,SCOPUS_ID:0027233773,10.2105/ajph.83.5.711,Treatment for glaucoma: Adherence by the elderly,American Journal Of Public Health,1993,Other/None,Cohort,Cohort,Other/None,Cohort,Cohort,False,False,False,False,False,,,,True,0.67,True,yes,0.84,0.68,1636,50,6.8712e-05,730.8844999934081,1,typesafe/jev-1.13-20260917,gen-dec-1789842875-Ui6mqssbKic3sb0Jsto1,,1d16b25dcca8,2026-09-19T18:34:35+00:00
5,DES-006,1230,SCOPUS_ID:0029034410,10.1093/oxfordjournals.aje.a117619,Psychotropic drugs and risk of recurrent falls in ambulatory nursing home residents,American Journal Of Epidemiology,1995,Other/None,Cohort,Cohort,Other/None,Cohort,Cohort,False,False,False,False,True,Accidental falls; Aged; Nursing homes; Psychotropic drugs,,,True,0.86,True,yes,0.98,0.96,2028,50,8.5176e-05,1184.8496250167955,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-vOVWkwDBcLWSktNsuNuI,,1d16b25dcca8,2026-09-19T18:34:36+00:00
6,DES-007,41092,SCOPUS_ID:12144290469,10.1016/j.ypmed.2003.11.005,Focus groups of Y-K Delta Alaska Natives: Attitudes toward tobacco use and tobacco dependence interventions,Preventive Medicine,2004,Other/None,Other/None,Other/None,Qualitative,Qualitative,Qualitative,False,False,False,False,False,Focus group; Intervention; Tobacco cessation; Tobacco use,,,True,0.39,False,no,0.37,0.26,1656,50,6.9552e-05,692.004333017394,1,typesafe/jev-1.13-20260917,gen-dec-1789842875-CF1DoShFO0AqqXMKI1Q3,,1d16b25dcca8,2026-09-19T18:34:35+00:00
7,DES-008,34541,SCOPUS_ID:85166442516,10.1093/ije/dyad054,A longitudinal study evaluating adverse childhood experiences and obesity in adulthood using the Canadian Longitudinal Study on Aging (CLSA),International Journal Of Epidemiology,2023,Cohort,Cohort,Cohort,Other/None,Cohort,Cohort,False,False,False,False,False,Adverse childhood experiences; CLSA; nutrition; obesity; stress,,,True,0.05,False,no,0.0,1.0,1740,50,7.308e-05,681.3366249843966,1,typesafe/jev-1.13-20260917,gen-dec-1789842875-dyzIHtN6hC3bBtNN0jf5,,1d16b25dcca8,2026-09-19T18:34:35+00:00
8,DES-009,28429,SCOPUS_ID:84904963525,10.1093/eurpub/cku014,Association between economic fluctuations and road mortality in OECD countries,European Journal Of Public Health,2014,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,False,True,False,True,False,,,,True,0.02,False,no,0.0,1.0,1481,50,6.2202e-05,348.8692090031691,1,typesafe/jev-1.13-20260917,gen-dec-1789842875-DLJMT2utjoNxbuJ3BHDp,,1d16b25dcca8,2026-09-19T18:34:36+00:00
9,DES-010,28971,SCOPUS_ID:85076307058,10.1093/eurpub/ckz024,The influence of patient case mix on public health area statistics for cancer stage at diagnosis: A cross-sectional study,European Journal Of Public Health,2019,Cross-sectional,Other/None,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,False,False,False,False,True,,,,True,0.84,True,yes,0.96,0.92,1656,50,6.9552e-05,307.2483339929022,1,typesafe/jev-1.13-20260917,gen-dec-1789842875-nHKQoldBCCGnnCAm87Nm,,1d16b25dcca8,2026-09-19T18:34:36+00:00
10,DES-011,8897,SCOPUS_ID:0242289627,10.1016/s0749-3797(03)00218-6,Relationships between body mass indices and surgical replacements of knee and hip joints,American Journal Of Preventive Medicine,2003,Other/None,Case-control,Case-control,Other/None,Case-control,Case-control,False,False,False,False,False,,,,True,0.03,False,no,0.0,1.0,1792,50,7.5264e-05,340.6924589944538,1,typesafe/jev-1.13-20260917,gen-dec-1789842875-83jOimXuaeLYYLH2LyOj,,1d16b25dcca8,2026-09-19T18:34:36+00:00
11,DES-012,12585,SCOPUS_ID:85125459648,10.1016/j.amepre.2021.12.012,Sustained Impact of the Philadelphia Beverage Tax on Beverage Prices and Sales Over 2 Years,American Journal Of Preventive Medicine,2022,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Quasi-experimental,False,True,False,True,False,,,,True,0.05,False,no,0.0,1.0,1754,50,7.3668e-05,298.3132080116775,1,typesafe/jev-1.13-20260917,gen-dec-1789842875-DLIqeuN3r2E8zaDG1shc,,1d16b25dcca8,2026-09-19T18:34:36+00:00
