comparison,n,agreement_pct,agreement_ci,kappa,kappa_ci,sensitivity,specificity,ppv,npv,prevalence_ref_pct,prevalence_pred_pct,tp,fp,fn,tn
dev400: Jev noul vs DeepSeek,400,89.8,"(86.7, 92.8)",0.77,"(0.705, 0.832)",1,0.858,0.73,1,27.8,38,111,41,0,248
dev400: Jev choice vs DeepSeek,400,89.8,"(86.8, 92.5)",0.769,"(0.702, 0.828)",0.991,0.862,0.733,0.996,27.8,37.5,110,40,1,249
gold: DeepSeek vs adjudicated gold standard,204,92.6,"(89.2, 96.1)",0.803,"(0.703, 0.891)",0.956,0.918,0.768,0.986,22.1,27.5,43,13,2,146
gold: Jev noul vs adjudicated gold standard,204,92.6,"(88.7, 96.1)",0.794,"(0.688, 0.886)",0.889,0.937,0.8,0.968,22.1,24.5,40,10,5,149
gold: Jev choice vs adjudicated gold standard,204,92.2,"(88.2, 95.6)",0.782,"(0.675, 0.877)",0.889,0.931,0.784,0.967,22.1,25,40,11,5,148
gold: DeepSeek vs gold standard excl. non-empirical/truncated,197,92.9,"(89.3, 95.9)",0.805,"(0.702, 0.891)",0.952,0.923,0.769,0.986,21.3,26.4,40,12,2,143
gold: Jev noul vs gold standard excl. non-empirical/truncated,197,92.9,"(89.3, 95.9)",0.799,"(0.684, 0.891)",0.905,0.935,0.792,0.973,21.3,24.4,38,10,4,145
gold: Jev choice vs gold standard excl. non-empirical/truncated,197,92.4,"(88.3, 95.9)",0.786,"(0.673, 0.885)",0.905,0.929,0.776,0.973,21.3,24.9,38,11,4,144
gold: DeepSeek vs reviewer DB (author 1),204,91.2,"(87.3, 94.6)",0.765,"(0.657, 0.859)",0.913,0.911,0.75,0.973,22.5,27.5,42,14,4,144
gold: Jev noul vs reviewer DB (author 1),204,91.2,"(87.3, 95.1)",0.755,"(0.647, 0.859)",0.848,0.93,0.78,0.955,22.5,24.5,39,11,7,147
gold: Jev choice vs reviewer DB (author 1),204,90.7,"(86.8, 94.6)",0.743,"(0.635, 0.845)",0.848,0.924,0.765,0.954,22.5,25,39,12,7,146
gold: DeepSeek vs reviewer EC (author 5),204,92.6,"(89.2, 96.1)",0.803,"(0.703, 0.891)",0.956,0.918,0.768,0.986,22.1,27.5,43,13,2,146
gold: Jev noul vs reviewer EC (author 5),204,92.6,"(88.7, 96.1)",0.794,"(0.688, 0.886)",0.889,0.937,0.8,0.968,22.1,24.5,40,10,5,149
gold: Jev choice vs reviewer EC (author 5),204,92.2,"(88.2, 95.6)",0.782,"(0.675, 0.877)",0.889,0.931,0.784,0.967,22.1,25,40,11,5,148
gold: DeepSeek vs reviewer MW (author 2),104,95.2,"(90.4, 99.0)",0.882,"(0.770, 0.974)",0.931,0.96,0.9,0.973,27.9,28.8,27,3,2,72
gold: Jev noul vs reviewer MW (author 2),104,94.2,"(89.4, 98.1)",0.853,"(0.719, 0.956)",0.862,0.973,0.926,0.948,27.9,26,25,2,4,73
gold: Jev choice vs reviewer MW (author 2),104,94.2,"(89.4, 98.1)",0.853,"(0.719, 0.956)",0.862,0.973,0.926,0.948,27.9,26,25,2,4,73
gold: Jev noul vs DeepSeek,204,93.1,"(89.7, 96.1)",0.822,"(0.731, 0.904)",0.821,0.973,0.92,0.935,27.5,24.5,46,4,10,144
gold: Jev choice vs DeepSeek,204,93.6,"(90.2, 96.6)",0.835,"(0.746, 0.911)",0.839,0.973,0.922,0.941,27.5,25,47,4,9,144
strat400: DeepSeek vs adjudicated manual label,400,86,"(82.5, 89.2)",0.655,"(0.567, 0.733)",0.661,0.952,0.866,0.858,31.8,24.2,84,13,43,260
strat400: Jev noul vs adjudicated manual label,400,89.8,"(86.5, 92.5)",0.759,"(0.680, 0.823)",0.803,0.941,0.864,0.911,31.8,29.5,102,16,25,257
strat400: Jev choice vs adjudicated manual label,400,90.8,"(87.8, 93.3)",0.784,"(0.712, 0.845)",0.835,0.941,0.869,0.924,31.8,30.5,106,16,21,257
strat400: DeepSeek vs reviewer DB (blinded),400,83.2,"(79.5, 87.0)",0.611,"(0.527, 0.693)",0.603,0.965,0.907,0.809,36.5,24.2,88,9,58,245
strat400: Jev noul vs reviewer DB (blinded),400,87,"(83.2, 90.2)",0.708,"(0.631, 0.778)",0.726,0.953,0.898,0.858,36.5,29.5,106,12,40,242
strat400: Jev choice vs reviewer DB (blinded),400,88,"(84.5, 91.0)",0.732,"(0.655, 0.802)",0.753,0.953,0.902,0.871,36.5,30.5,110,12,36,242
strat400: DeepSeek vs reviewer EC (blinded),400,85.8,"(82.2, 89.0)",0.643,"(0.558, 0.723)",0.664,0.942,0.835,0.865,30.5,24.2,81,16,41,262
strat400: Jev noul vs reviewer EC (blinded),400,89,"(85.5, 91.8)",0.738,"(0.658, 0.808)",0.803,0.928,0.831,0.915,30.5,29.5,98,20,24,258
strat400: Jev choice vs reviewer EC (blinded),400,90,"(87.0, 92.8)",0.764,"(0.692, 0.832)",0.836,0.928,0.836,0.928,30.5,30.5,102,20,20,258
strat400: reviewer EC vs reviewer DB (human-human),400,94,"(91.5, 96.2)",0.866,"(0.809, 0.914)",0.836,1,1,0.914,36.5,30.5,122,0,24,254
strat400: Jev noul vs DeepSeek,400,93.2,"(90.8, 95.8)",0.829,"(0.767, 0.889)",0.969,0.921,0.797,0.989,24.2,29.5,94,24,3,279
