source_row,review_id,scopus_id,doi,title,journal,keywords,DB_policy_claim,db notes,EC_policy_claim,ec notes,concordance,...13,...14,db_double_checked,...16,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
0,S400-001,SCOPUS_ID:0031968704,10.2105/AJPH.88.3.364,Insurance or a regular physician: Which is the most powerful predictor of health care?,American Journal Of Public Health,[],FALSE,,FALSE,,,,,,,TRUE,0.05,FALSE,no,0,1,1660,50,6.972e-5,903.335,,typesafe/jev-1.13-20260917,gen-dec-1789843882-qBQqFHtj5swLINtTQBoP,,1d16b25dcca8,2026-09-19T18:51:29+0000
1,S400-002,SCOPUS_ID:84938780031,10.1093/aje/kwv064,"Analyzing seasonal variations in suicide with fourier poisson time-series regression: A registry-based study from Norway, 1969-2007",American Journal Of Epidemiology,"['seasonal variation', 'suicide']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1616,50,6.7872e-5,317.276,,typesafe/jev-1.13-20260917,gen-dec-1789843881-Bk6CDh69I9Rd7s2aEEae,,1d16b25dcca8,2026-09-19T18:51:29+0000
2,S400-003,SCOPUS_ID:7644239491,10.1016/j.ypmed.2004.05.013,A breast-feeding promotion and support program a randomized trial in the Netherlands,Preventive Medicine,"['Attitude', 'Breast-feeding', 'I-change model', 'Self-efficacy', 'Social influences', 'Weaning']",FALSE,,FALSE,,,,,,,TRUE,0.17,FALSE,no,0.08,0.84,1659,50,6.9678e-5,979.1410000000001,,typesafe/jev-1.13-20260917,gen-dec-1789843882-KHD9rEfbaQxcTtyu3IdS,,1d16b25dcca8,2026-09-19T18:51:29+0000
3,S400-004,SCOPUS_ID:0037764712,10.1093/eurpub/13.2.138,On the use of administrative databases to support planning activities: The case of the evaluation of neonatal case-mix in the Emilia-Romagna region using DRG and APR-DRG classification systems,European Journal Of Public Health,"['Administrative data', 'DRG', 'Neonatal intensive care', 'Planning']",FALSE,,FALSE,,,,,,,TRUE,0.38,FALSE,no,0.4,0.2,1570,50,6.594e-5,979.153,,typesafe/jev-1.13-20260917,gen-dec-1789843882-hYRdsw8Kyo0ER8C5OQzL,,1d16b25dcca8,2026-09-19T18:51:29+0000
4,S400-005,SCOPUS_ID:0035873404,10.1093/aje/153.10.969,Trends in nutrient intake of 10-year-old children over two decades (1973-1994): The Bogalusa heart study,American Journal Of Epidemiology,"['Child nutrition', 'Diet', 'Energy intake', 'Fats', 'Nutrition surveys']",FALSE,,FALSE,,,,,,,TRUE,0.05,FALSE,no,0,1,1687,50,7.0854e-5,958.259,,typesafe/jev-1.13-20260917,gen-dec-1789843882-QoXMW6WB8Wl0yneQbK1D,,1d16b25dcca8,2026-09-19T18:51:29+0000
5,S400-006,SCOPUS_ID:0032523785,10.1093/oxfordjournals.aje.a009383,Exposure to environmental tobacco smoke and risk factors for heart disease among never smokers in the Third National Health and Nutrition Examination Survey,American Journal Of Epidemiology,"['Cardiovascular diseases', 'Cotinine', 'Environmental pollution, tobacco smoke', 'Heart diseases', 'Lipoproteins, HDL cholesterol', 'Risk factors']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1761,50,7.3962e-5,1255.023,,typesafe/jev-1.13-20260917,gen-dec-1789843882-rQlKO5GANNX68dsf8WII,,1d16b25dcca8,2026-09-19T18:51:29+0000
6,S400-007,SCOPUS_ID:85121733067,10.1016/j.ypmed.2021.106934,Family's socioeconomic profile at birth and offspring mortality until midlife – The Northern Finland Birth Cohort 1966 study,Preventive Medicine,"['Birth cohort', 'Cohort studies', 'Latent class analysis', 'Mortality', 'Parent-offspring linkage', 'Socioeconomic status']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1737,50,7.2954e-5,888.1329999999999,,typesafe/jev-1.13-20260917,gen-dec-1789843882-Acliqx7oCWjTHtX0CaBp,,1d16b25dcca8,2026-09-19T18:51:29+0000
7,S400-008,SCOPUS_ID:85087724115,10.1016/j.ypmed.2020.106176,History of child maltreatment and excessive dietary and screen time behaviors in young adults: Results from a nationally representative study,Preventive Medicine,"['African Americans', 'Child abuse', 'Diet', 'Hispanic Americans', 'Obesity', 'Screen time', 'Stress']",TRUE,,TRUE,,,,,,,TRUE,0.46,FALSE,no,0.48,0.04,1760,50,7.392e-5,876.325,,typesafe/jev-1.13-20260917,gen-dec-1789843882-ck9SL0qiStqwtgPb304H,,1d16b25dcca8,2026-09-19T18:51:29+0000
8,S400-009,SCOPUS_ID:0242464932,10.1093/ije/dyg004,Relation of plasma folate and methylenetetrahydrofolate reductase C677T polymorphism to colorectal adenomas,International Journal Of Epidemiology,"['Genetic polymorphism colorectal adenomas', 'Methylenetetrahydrofolate reductase', 'Plasma folate']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1707,50,7.1694e-5,939.11,,typesafe/jev-1.13-20260917,gen-dec-1789843882-iiFDGTbMs6mlK5rNOQbF,,1d16b25dcca8,2026-09-19T18:51:29+0000
9,S400-010,SCOPUS_ID:0025848976,10.2105/AJPH.81.5.592,Benzodiazepine anti-anxiety agents: Prevalence and correlates of use in a southern community,American Journal Of Public Health,[],FALSE,,FALSE,,,,,,,TRUE,0.35,FALSE,no,0.31,0.39,1625,50,6.825e-5,627.026,,typesafe/jev-1.13-20260917,gen-dec-1789843882-hG0Ui644ZLSJLssm8rWH,,1d16b25dcca8,2026-09-19T18:51:29+0000
10,S400-011,SCOPUS_ID:84907339427,10.1016/j.ypmed.2014.07.019,"Multilevel evaluation of 'China Healthy Lifestyles for All', a nationwide initiative to promote lower intakes of salt and edible oil",Preventive Medicine,"['China', 'Edible oil', 'Geographic variations', 'Health literacy', 'Multilevel modelling', 'Preventive health', 'Salt']",TRUE,,TRUE,,,,,,,TRUE,0.77,TRUE,yes,0.89,0.77,1780,50,7.476e-5,284.457,,typesafe/jev-1.13-20260917,gen-dec-1789843882-sa28hqB8mzs6a6yKNM4g,,1d16b25dcca8,2026-09-19T18:51:29+0000
11,S400-012,SCOPUS_ID:85017184849,10.1093/ije/dyw314,Triangulation in aetiological epidemiology,International Journal Of Epidemiology,"['Negative control studies', 'Aetiological epidemiology', 'Causality', 'Instrumental variables', 'Mendelian randomization', 'Natural experiments', 'RCTs', 'Triangulation', 'Within-sibships studies']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1639,50,6.8838e-5,328.61899999999997,,typesafe/jev-1.13-20260917,gen-dec-1789843882-YOOr5CMMjo4PZkWRLYet,,1d16b25dcca8,2026-09-19T18:51:29+0000
12,S400-013,SCOPUS_ID:77958157041,10.1016/j.amepre.2010.07.009,Adoption of policies to treat tobacco dependence in U.S. medical groups,American Journal Of Preventive Medicine,[],TRUE,,TRUE,"the authors do not give specific recommendations though, so on the fence here",,,,,,TRUE,0.67,TRUE,yes,0.75,0.5,1735,50,7.287e-5,290.656,,typesafe/jev-1.13-20260917,gen-dec-1789843882-fvxY7dLmOUTuNEIqVsku,,1d16b25dcca8,2026-09-19T18:51:29+0000
13,S400-014,SCOPUS_ID:34548386735,10.1093/eurpub/ckl245,Trends in vigorous physical activity and TV watching of adolescents from 1986 to 2002 in seven European Countries,European Journal Of Public Health,"['Adolescents', 'Europe', 'Physical activity', 'Trends', 'TV watching']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1694,50,7.1148e-5,285.304,,typesafe/jev-1.13-20260917,gen-dec-1789843882-xGcMEV0U388tOcY17IMI,,1d16b25dcca8,2026-09-19T18:51:29+0000
14,S400-015,SCOPUS_ID:0032794564,10.1097/00001648-199909000-00011,Menstrual and reproductive factors for salivary gland cancer risk in women,Epidemiology,"['Menstrual factors', 'Reproductive factors', 'Risk factors', 'Salivary gland cancer', 'Women']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1590,50,6.678e-5,256.432,,typesafe/jev-1.13-20260917,gen-dec-1789843882-c98VKxM8UiWl4JkvF1EI,,1d16b25dcca8,2026-09-19T18:51:29+0000
15,S400-016,SCOPUS_ID:85061033867,10.1097/EDE.0000000000000945,Comparison of Methods for Algorithmic Classification of Dementia Status in the Health and Retirement Study,Epidemiology,"['Algorithms', ""Alzheimer's disease"", 'Dementia', 'Health and Retirement Study']",FALSE,,FALSE,,,,,,,TRUE,0.14,FALSE,no,0.06,0.87,1804,50,7.5768e-5,293.717,,typesafe/jev-1.13-20260917,gen-dec-1789843882-PGrGHIkF726wMuObgrZS,,1d16b25dcca8,2026-09-19T18:51:29+0000
16,S400-017,SCOPUS_ID:0025975542,10.2105/AJPH.81.1.101,The status of restrictive smoking policies: A survey of medical schools in the United States and Canada,American Journal Of Public Health,[],FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1494,50,6.2748e-5,661.943,,typesafe/jev-1.13-20260917,gen-dec-1789843882-TFE8HnDMv1Xb1r1LDEf4,,1d16b25dcca8,2026-09-19T18:51:29+0000
17,S400-018,SCOPUS_ID:85138127378,10.1016/j.ypmed.2022.107223,Rural and urban disparities in potentially preventable hospitalizations among US patients with Alzheimer's Disease and Related Dementias: Evidence of hospital-based telehealth and enabling services,Preventive Medicine,"[""Alzheimer's disease and related dementias"", 'Enabling services', 'Preventable hospitalizations', 'Telehealth']",TRUE,,TRUE,,,,,,,TRUE,0.73,TRUE,yes,0.85,0.7,1827,50,7.6734e-5,330.598,,typesafe/jev-1.13-20260917,gen-dec-1789843882-JjEs8QvnvcDJtBFU5qI6,,1d16b25dcca8,2026-09-19T18:51:29+0000
18,S400-019,SCOPUS_ID:85026467281,10.1093/eurpub/ckx042,Whether people believe that overweight is unhealthy depends on their BMI,European Journal Of Public Health,[],FALSE,,FALSE,,,,,,,TRUE,0.07,FALSE,no,0.01,0.98,1442,50,6.0564e-5,318.382,,typesafe/jev-1.13-20260917,gen-dec-1789843883-yf66A1Xr6NRF70BssyD5,,1d16b25dcca8,2026-09-19T18:51:29+0000
19,S400-020,SCOPUS_ID:0034049918,10.1006/pmed.2000.0665,Total Quality Leadership in the U.S. Navy: Effective for health promotion activities?,Preventive Medicine,"['Disease prevention', 'Health survey', 'Military', 'Navy', 'Total Quality Leadership', 'Worksite health promotion']",FALSE,,FALSE,,,,,,,TRUE,0.05,FALSE,no,0,1,1642,50,6.8964e-5,235.737,,typesafe/jev-1.13-20260917,gen-dec-1789843883-JHFfVhv9XWj4Ciz4x3mC,,1d16b25dcca8,2026-09-19T18:51:29+0000
20,S400-021,SCOPUS_ID:77952306138,10.1093/ije/dyp229,"Resting heart rate and blood pressure, independent of each other, proportionally raise the risk for type-2 diabetes mellitus",International Journal Of Epidemiology,"['Blood pressure', 'Diabetes', 'Follow-up study', 'Heart rate', 'Risk factors']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1789,50,7.5138e-5,283.419,,typesafe/jev-1.13-20260917,gen-dec-1789843883-PXYQohVsSL7RhPWvI5mS,,1d16b25dcca8,2026-09-19T18:51:29+0000
21,S400-022,SCOPUS_ID:0031863645,10.1023/A:1007427925583,Prevalence of bovine verotoxin-producing Escherichia coli in Argentina,European Journal Of Epidemiology,"['Cattle', 'Escherichia coli', 'Intimin', 'Shiga-like toxins', 'Verotoxins']",FALSE,,FALSE,"not a human study, surprised it's even included",,,,,,TRUE,0.04,FALSE,no,0,1,1750,50,7.35e-5,288.22999999999996,,typesafe/jev-1.13-20260917,gen-dec-1789843883-njyiyfcaPAloSIKGbb63,,1d16b25dcca8,2026-09-19T18:51:29+0000
22,S400-023,SCOPUS_ID:0006096230,10.1093/eurpub/3.4.290,A case-control assessment of risk factors for Haemophilus influenzae type b meningitis,European Journal Of Public Health,"['Children', 'Haemophilis influenzae type b', 'Meningitis', 'Risk factors']",TRUE,,TRUE,,,,,,,TRUE,0.76,TRUE,yes,0.9,0.79,1505,50,6.321e-5,320.53999999999996,,typesafe/jev-1.13-20260917,gen-dec-1789843883-ThvpyJ7vKt59JGp8KZIV,,1d16b25dcca8,2026-09-19T18:51:29+0000
23,S400-024,SCOPUS_ID:85184817755,10.1016/j.ypmed.2024.107892,"Identifying overlaps and disconnects between media reports and official records of nonfatal firearm injuries in Indianapolis, Indiana, 2021–2022",Preventive Medicine,"['Communities', 'Data linkage', 'Firearm injuries', 'Media', 'Structural disadvantage']",TRUE,,TRUE,,,,,,,TRUE,0.97,TRUE,yes,1,1,1699,50,7.1358e-5,295.798,,typesafe/jev-1.13-20260917,gen-dec-1789843883-ezJGPyJSrPvXjdWoaaAg,,1d16b25dcca8,2026-09-19T18:51:29+0000
24,S400-025,SCOPUS_ID:84866321529,10.2105/AJPH.2012.300934,Effects of home visiting on adolescent mothers' parenting attitudes,American Journal Of Public Health,[],FALSE,didn't extract full abstract,FALSE,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2012.300934,,,,,,TRUE,0.03,FALSE,no,0,1,1462,50,6.1404e-5,319.79400000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843883-o1NgOcF9PmBE8CJnANas,,1d16b25dcca8,2026-09-19T18:51:29+0000
25,S400-026,SCOPUS_ID:33645464863,10.1093/eurpub/cki199,Breastfeeding duration is determined by only a few factors,European Journal Of Public Health,"['Breastfeeding', 'Influencing factors', 'Outcome prognosis', 'Resource allocation']",TRUE,,TRUE,although they do say that their findings need to be confrimed,,,,,,TRUE,0.85,TRUE,yes,0.98,0.95,1706,50,7.1652e-5,242.26,,typesafe/jev-1.13-20260917,gen-dec-1789843883-lyTh8dXAoiQKaD2Mhp8g,,1d16b25dcca8,2026-09-19T18:51:29+0000
26,S400-027,SCOPUS_ID:20544447667,10.1093/aje/kwi141,"Large-scale comparative analysis of pertussis population dynamics: Periodicity, synchrony, and impact of vaccination",American Journal Of Epidemiology,"['Comparative analysis', 'Periodicity', 'Population surveillance', 'Vaccination', 'Wavelet methods', 'Whooping cough']",TRUE,,FALSE,"to me, they suggest further research rather than a policy implication?",!!!,,,FALSE,,TRUE,0.11,FALSE,no,0.01,0.98,1562,50,6.5604e-5,430.46299999999997,,typesafe/jev-1.13-20260917,gen-dec-1789843883-3uRuk6FsE0Bmhr8fECy9,,1d16b25dcca8,2026-09-19T18:51:29+0000
27,S400-028,SCOPUS_ID:0035148770,10.1136/jech.55.2.80,An explanation of the persistent doctor-mortality association,Journal Of Epidemiology And Community Health,[],FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1632,50,6.8544e-5,340.48499999999996,,typesafe/jev-1.13-20260917,gen-dec-1789843883-9PSWCEwU0SxvlkfbvtCj,,1d16b25dcca8,2026-09-19T18:51:29+0000
28,S400-029,SCOPUS_ID:0034535398,10.1023/A:1026793615987,Childhood cancer survival in Cuba,European Journal Of Epidemiology,"['Cancer Registry', 'Childhood cancer', 'Survival']",FALSE,,FALSE,,,,,,,TRUE,0.17,FALSE,no,0.03,0.93,1750,50,7.35e-5,286.156,,typesafe/jev-1.13-20260917,gen-dec-1789843883-rmatPaYg1OqSprHYnnA3,,1d16b25dcca8,2026-09-19T18:51:29+0000
29,S400-030,SCOPUS_ID:57149102085,10.2105/AJPH.2008.137018,Anabolic-androgenic steroid use and involvement in violent behavior in a nationally representative sample of young adult males in the United States,American Journal Of Public Health,[],FALSE,,FALSE,,,,,,,TRUE,0.02,FALSE,no,0,1,1472,50,6.1824e-5,256.731,,typesafe/jev-1.13-20260917,gen-dec-1789843883-bH2f6IXQEi6swQqnBX2N,,1d16b25dcca8,2026-09-19T18:51:29+0000
30,S400-031,SCOPUS_ID:0029557074,10.1136/jech.49.6.575,Seasonal variation in coronary heart disease in Scotland,Journal Of Epidemiology And Community Health,[],FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1823,50,7.6566e-5,322.324,,typesafe/jev-1.13-20260917,gen-dec-1789843883-lGLDKypk6V2lGVrdcNFy,,1d16b25dcca8,2026-09-19T18:51:29+0000
