source_row,scopus_id,doi,title,journal,publication_year,keywords,corresponding_author_country,cited_by_count,policy_claim_via_terms,DB review,DB notes,EC review,EC notes,DB notes.1,Unnamed: 15,MW review,MW notes,discrepant?,db re-review,llm_policy_claim,reasoning,EC re-review,EC reasoning,Unnamed: 24,agreed_gold_standard,agreed_gold_standard_with_exclusions,exclusion reason,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
0,SCOPUS_ID:78650633722,10.1093/aje/kwq345,"Adult body size, hormone receptor status, and premenopausal breast cancer risk in a multiethnic population",American Journal of Epidemiology,2011.0,"['African Americans', 'body size', 'breast neoplasms', 'Hispanic Americans', 'premenopause', 'receptors, estrogen', 'receptors, progesterone']",United States,59.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.02,False,no,0.0,1.0,1786,50,7.5012e-05,723.4071670100093,1,typesafe/jev-1.13-20260917,gen-dec-1789843166-sIJytnmlg6BtRZcgCxJQ,,1d16b25dcca8,2026-09-19T18:39:26+00:00
1,SCOPUS_ID:0032978484,10.2105/AJPH.89.2.171,"The impact of physician bonuses, enhanced fees, and feedback on childhood immunization coverage rates",American Journal of Public Health,1999.0,[],United States,139.0,0.0,0.0,marginal,0.0,The final statement is strong but not really a policy recommendation - hard one. ,agree - may be intrinsic limit of LLMs,,,,,,0.0,,False,,,False,False,,True,0.62,True,yes,0.73,0.45,1641,50,6.8922e-05,719.6968329953961,1,typesafe/jev-1.13-20260917,gen-dec-1789843166-TZGWR3htWRKflK2ZD9b5,,1d16b25dcca8,2026-09-19T18:39:26+00:00
2,SCOPUS_ID:0032931075,10.1093/oxfordjournals.aje.a009723,Prospective study of diet and ovarian cancer,American Journal of Epidemiology,1999.0,"['Diet', 'Nutrition', 'Ovarian neoplasms', 'Postmenopausal', 'Prospective studies', 'Risk', 'Risk factors']",United States,201.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.03,False,no,0.0,1.0,1807,50,7.5894e-05,724.0522089996375,1,typesafe/jev-1.13-20260917,gen-dec-1789843166-BAtZVPmrO5CsxrHdK3uq,,1d16b25dcca8,2026-09-19T18:39:26+00:00
3,SCOPUS_ID:85066260594,10.1016/S2468-2667(19)30018-0,"Geospatial, racial, and educational variation in firearm mortality in the USA, Mexico, Brazil, and Colombia, 1990â€“2015: a comparative analysis of vital statistics data",The Lancet Public Health,2019.0,[],Mexico,26.0,0.0,0.0,marginal,0.0,I think it is worded carefully ('could'). Is the use of conditional something we could add to our algorithm?,"I don't think so for the terms approach. For the analysis in which study design is correlated with claims, we can manually screen the ""made policy claim"" group.",,,,,,1.0,,False,,,False,False,,True,0.49,False,no,0.45,0.1,2149,50,9.0258e-05,715.1362080185208,1,typesafe/jev-1.13-20260917,gen-dec-1789843166-v8NI3I00inPLa7EpVdL7,,1d16b25dcca8,2026-09-19T18:39:26+00:00
4,SCOPUS_ID:84895890934,10.1093/aje/kwt327,"Trends in alcohol and other drugs detected in fatally injured drivers in the United States, 1999-2010",American Journal of Epidemiology,2014.0,"['accidents', 'alcohol consumption', 'cannabinoids', 'drug users', 'motor vehicles', 'prescription drugs', 'safety', 'traffic']",United States,168.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.04,False,no,0.0,1.0,1666,50,6.9972e-05,718.1004169979133,1,typesafe/jev-1.13-20260917,gen-dec-1789843166-id8aLHKIj7qIdRPppwTZ,,1d16b25dcca8,2026-09-19T18:39:26+00:00
5,SCOPUS_ID:84912129265,10.1016/j.amepre.2014.08.009,"Adult vaccination disparities among foreign-born populations in the u.s., 2012",American Journal of Preventive Medicine,2014.0,[],United States,65.0,0.0,0.0,n/a abstract,0.0,"I dont know how frequent that is, but we might want to remove these?",edited scripts to exclude abstracts <100 words,,,,,,0.0,,False,"not applicable here, not really an abstract",,False,,incomplete abstract,True,0.03,False,no,0.0,1.0,1382,50,5.8044e-05,719.3776250060182,1,typesafe/jev-1.13-20260917,gen-dec-1789843166-6qCdMABfV9dRW2sxp4TP,,1d16b25dcca8,2026-09-19T18:39:26+00:00
6,SCOPUS_ID:69549088896,10.1097/EDE.0b013e3181ad5522,Extreme high temperatures and hospital admissions for respiratory and cardiovascular diseases,Epidemiology,2009.0,[],United States,366.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.04,False,no,0.0,1.0,1739,50,7.3038e-05,723.9458750118501,1,typesafe/jev-1.13-20260917,gen-dec-1789843166-tpqPjiOC1okZBAnjmKA2,,1d16b25dcca8,2026-09-19T18:39:26+00:00
7,SCOPUS_ID:85088828588,10.1007/s10654-020-00665-w,Body mass index in young adulthood and risk of subsequent dementia at different levels of intelligence and education in Danish men,European Journal of Epidemiology,2020.0,"['Body mass index', 'Cohort study', 'Dementia', 'Intelligence']",Denmark,5.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.02,False,no,0.0,1.0,1686,50,7.0812e-05,1149.8744169948623,1,typesafe/jev-1.13-20260917,gen-dec-1789843166-6rQlYxUlU2jxPypJPrGv,,1d16b25dcca8,2026-09-19T18:39:26+00:00
8,SCOPUS_ID:85054204629,10.1093/aje/kwy091,"Ramadan Exposure in Utero and Child Mortality in Burkina Faso: Analysis of a Population-Based Cohort Including 41,025 Children",American Journal of Epidemiology,2018.0,"['child mortality', 'difference in differences', 'population-based cohort', 'pregnancy', 'prenatal exposure delayed effects', 'Ramadan', 'sub-Saharan Africa']",Germany,24.0,0.0,0.0,"overly bold conclusion, but not a policy claims",0.0,"Agreed, maybe the tense is important here - can vs could.","good, in which case all agree",,,,,,0.0,,False,,,False,False,,True,0.05,False,no,0.0,1.0,1702,50,7.1484e-05,296.0030419926625,1,typesafe/jev-1.13-20260917,gen-dec-1789843166-U4FeaK7E2qkMyYzcce8H,,1d16b25dcca8,2026-09-19T18:39:26+00:00
9,SCOPUS_ID:84946734426,10.2105/AJPH.2015.302611,Health care disparities in the post-affordable care act era,American Journal of Public Health,2015.0,[],United States,73.0,0.0,0.0,n/a abstract,0.0,,,,,,,,1.0,,False,"not applicable here, not really an abstract",,False,,incomplete abstract,True,0.29,False,no,0.15,0.7,1416,50,5.9472e-05,276.3342499965802,1,typesafe/jev-1.13-20260917,gen-dec-1789843166-mxICoqRqFqDx50lMi7Et,,1d16b25dcca8,2026-09-19T18:39:26+00:00
