source_row,review_id,scopus_id,doi,title,journal,keywords,DB_policy_claim,db notes,EC_policy_claim,ec notes,concordance,Unnamed: 12,Unnamed: 13,db_double_checked,Unnamed: 15,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
0,S400-001,SCOPUS_ID:0031968704,10.2105/AJPH.88.3.364,Insurance or a regular physician: Which is the most powerful predictor of health care?,American Journal Of Public Health,[],False,,False,,,,,,,True,0.05,False,no,0.0,1.0,1660,50,6.972e-05,718.7845419975929,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-hZNG1lqe1oLdr4qwlhw5,,1d16b25dcca8,2026-09-19T18:39:46+00:00
1,S400-002,SCOPUS_ID:84938780031,10.1093/aje/kwv064,"Analyzing seasonal variations in suicide with fourier poisson time-series regression: A registry-based study from Norway, 1969-2007",American Journal Of Epidemiology,"['seasonal variation', 'suicide']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1616,50,6.7872e-05,673.9531249913853,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-vf9GIQvz7YEoWnAkBJH1,,1d16b25dcca8,2026-09-19T18:39:46+00:00
2,S400-003,SCOPUS_ID:7644239491,10.1016/j.ypmed.2004.05.013,A breast-feeding promotion and support program a randomized trial in the Netherlands,Preventive Medicine,"['Attitude', 'Breast-feeding', 'I-change model', 'Self-efficacy', 'Social influences', 'Weaning']",False,,False,,,,,,,True,0.17,False,no,0.07,0.85,1659,50,6.9678e-05,731.5910840115976,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-L0anhxATokQRavPlxND9,,1d16b25dcca8,2026-09-19T18:39:46+00:00
3,S400-004,SCOPUS_ID:0037764712,10.1093/eurpub/13.2.138,On the use of administrative databases to support planning activities: The case of the evaluation of neonatal case-mix in the Emilia-Romagna region using DRG and APR-DRG classification systems,European Journal Of Public Health,"['Administrative data', 'DRG', 'Neonatal intensive care', 'Planning']",False,,False,,,,,,,True,0.41,False,no,0.39,0.22,1570,50,6.594e-05,737.4622089846525,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-gqFigqEmYBgjCUADTbZ0,,1d16b25dcca8,2026-09-19T18:39:46+00:00
4,S400-005,SCOPUS_ID:0035873404,10.1093/aje/153.10.969,Trends in nutrient intake of 10-year-old children over two decades (1973-1994): The Bogalusa heart study,American Journal Of Epidemiology,"['Child nutrition', 'Diet', 'Energy intake', 'Fats', 'Nutrition surveys']",False,,False,,,,,,,True,0.05,False,no,0.0,1.0,1687,50,7.0854e-05,733.579583989922,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-AQOj0If0gfQ6vxyI0LM1,,1d16b25dcca8,2026-09-19T18:39:46+00:00
5,S400-006,SCOPUS_ID:0032523785,10.1093/oxfordjournals.aje.a009383,Exposure to environmental tobacco smoke and risk factors for heart disease among never smokers in the Third National Health and Nutrition Examination Survey,American Journal Of Epidemiology,"['Cardiovascular diseases', 'Cotinine', 'Environmental pollution, tobacco smoke', 'Heart diseases', 'Lipoproteins, HDL cholesterol', 'Risk factors']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1761,50,7.3962e-05,1220.0077090237755,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-61zyL4WXH0lDOpVEOXu7,,1d16b25dcca8,2026-09-19T18:39:47+00:00
6,S400-007,SCOPUS_ID:85121733067,10.1016/j.ypmed.2021.106934,Family's socioeconomic profile at birth and offspring mortality until midlife – The Northern Finland Birth Cohort 1966 study,Preventive Medicine,"['Birth cohort', 'Cohort studies', 'Latent class analysis', 'Mortality', 'Parent-offspring linkage', 'Socioeconomic status']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1737,50,7.2954e-05,723.1789999932516,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-leybcJjrMLrToLTIQbPm,,1d16b25dcca8,2026-09-19T18:39:46+00:00
7,S400-008,SCOPUS_ID:85087724115,10.1016/j.ypmed.2020.106176,History of child maltreatment and excessive dietary and screen time behaviors in young adults: Results from a nationally representative study,Preventive Medicine,"['African Americans', 'Child abuse', 'Diet', 'Hispanic Americans', 'Obesity', 'Screen time', 'Stress']",True,,True,,,,,,,True,0.44,False,no,0.49,0.02,1760,50,7.392e-05,661.3867499982007,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-vpKMtRZEYcMLWYiQlgWV,,1d16b25dcca8,2026-09-19T18:39:46+00:00
8,S400-009,SCOPUS_ID:0242464932,10.1093/ije/dyg004,Relation of plasma folate and methylenetetrahydrofolate reductase C677T polymorphism to colorectal adenomas,International Journal Of Epidemiology,"['Genetic polymorphism colorectal adenomas', 'Methylenetetrahydrofolate reductase', 'Plasma folate']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1707,50,7.1694e-05,282.58516697678715,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-vJTpZJZKov4IOpu9TJQ7,,1d16b25dcca8,2026-09-19T18:39:46+00:00
9,S400-010,SCOPUS_ID:0025848976,10.2105/AJPH.81.5.592,Benzodiazepine anti-anxiety agents: Prevalence and correlates of use in a southern community,American Journal Of Public Health,[],False,,False,,,,,,,True,0.38,False,no,0.4,0.2,1625,50,6.825e-05,275.67483301390894,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-yL0RmiWxqQquepSbBJCP,,1d16b25dcca8,2026-09-19T18:39:46+00:00
