row,DeepSeek 1990-1999,Jev 1990-1999,DeepSeek 2000-2009,Jev 2000-2009,DeepSeek 2010-2019,Jev 2010-2019,DeepSeek 2020-2024,Jev 2020-2024,DeepSeek All years,Jev All years
All abstracts,17.7,23.0,22.8,27.6,28.4,34.2,35.8,42.0,25.6,31.1
Journal: American Journal of Epidemiology,8.2,10.4,8.6,9.7,11.0,12.4,15.6,18.5,9.9,11.6
Journal: American Journal of Preventive Medicine,31.7,41.0,37.2,45.1,35.9,44.9,47.2,56.7,38.2,47.1
Journal: American Journal of Public Health,24.5,31.7,33.7,40.6,38.6,48.7,46.2,55.7,33.7,42.0
Journal: Epidemiology,1.3,2.3,4.2,4.6,4.5,5.9,5.1,7.7,3.7,4.8
Journal: European Journal of Epidemiology,19.5,23.5,15.3,18.1,10.0,11.6,14.3,15.7,14.4,16.8
Journal: European Journal of Public Health,27.8,33.5,33.6,40.3,40.3,45.2,45.2,51.1,38.6,44.3
Journal: International Journal of Epidemiology,15.4,19.9,20.0,23.0,16.4,18.8,20.0,22.9,17.5,20.8
Journal: Journal of Epidemiology and Community Health,20.8,27.0,25.9,30.2,30.5,35.2,40.8,44.2,28.7,33.4
Journal: Lancet Public Health,,,,,59.1,75.6,64.0,77.6,62.4,76.9
Journal: Preventive Medicine,25.1,35.9,30.3,40.2,38.1,45.9,45.3,53.2,35.7,44.5
Country: AUSTRALIA,24.4,32.0,26.2,33.0,31.1,37.5,40.7,46.3,30.3,36.8
Country: CANADA,16.0,19.7,24.0,27.3,29.2,34.1,38.9,44.3,27.4,31.8
Country: CHINA,11.8,14.7,17.8,20.0,22.3,26.6,32.8,35.1,26.9,29.9
Country: DENMARK,14.0,18.3,11.2,13.0,11.9,14.9,23.1,27.7,14.1,17.3
Country: FINLAND,10.1,13.4,21.4,26.3,28.1,32.4,30.6,31.4,21.3,25.0
Country: FRANCE,17.8,23.6,21.7,26.0,26.4,28.9,34.1,37.2,24.1,28.0
Country: GERMANY,18.2,20.9,20.1,22.2,17.9,21.3,32.8,35.3,21.2,23.9
Country: ITALY,15.0,16.8,20.1,24.5,34.5,39.7,43.2,50.6,23.1,27.0
Country: JAPAN,9.7,10.6,17.1,20.0,18.8,18.8,18.4,21.8,16.3,17.9
Country: NETHERLANDS,13.6,18.9,21.0,24.6,26.6,30.8,32.4,37.8,22.6,27.1
Country: NORWAY,9.9,12.0,9.4,12.0,13.2,14.2,19.7,22.4,12.0,14.0
Country: SPAIN,16.9,22.5,24.6,28.5,28.5,32.2,35.1,38.1,25.3,29.4
Country: SWEDEN,14.3,16.8,13.9,16.5,20.2,22.5,23.6,28.9,17.5,20.4
Country: UNITED KINGDOM,16.8,22.3,22.8,26.1,26.5,32.1,36.6,42.0,25.7,30.6
Country: UNITED STATES,18.4,24.4,24.3,29.9,30.4,37.5,36.9,44.5,26.9,33.4
