scopus_id,doi,title,gold,deepseek,jev_noul,jev_p_yes,jev_choice_yes,abstract_end
SCOPUS_ID:0032978484,10.2105/AJPH.89.2.171,"The impact of physician bonuses, enhanced fees, and feedback on childhood immunization coverage rates",FALSE,FALSE,TRUE,0.62,TRUE,"ities to immunize were high in all groups and did hot change over time. Physicians' knowledge of contraindications was low. Conclusions: Bonuses sharply and rapidly increased immunization coverage in medical records. However, much of the increase was the result of better documentation. A bonus is a powerful incentive, but more structure or education may be necessary to achieve the desired results."
SCOPUS_ID:78650909890,10.2105/AJPH.2009.182287,Potential national and state medical care savings from primary disease prevention,FALSE,TRUE,TRUE,0.59,TRUE,"um term. Returns were greatest in absolute terms for private payers, but greatest in percentage terms for public payers. State savings varied with demographic makeup and prevailing morbidity. Conclusions. Well-designed interventions that achieve improvements in lifestyle-related risk factors could result in sufficient savings in the short and medium term to substantially offset intervention costs."
SCOPUS_ID:0026733346,10.1093/oxfordjournals.aje.a116486,Childhood weight and growth rate as predictors of adult mortality,FALSE,TRUE,TRUE,0.66,TRUE," existence of positive associations of overweight in school-age children with long-term mortality and seem to allay fears that harm could come from increased growth rates in childhood. Without jeopardizing growth, the avoidance of overweight in childhood might reduce mortality in middle age. Am J Epidemiol1992;136:201-13. Â© 1992 by The Johns Hopkins University School of Hypiene and Public Health."
SCOPUS_ID:76549115338,10.1016/j.amepre.2009.10.040,"Neighborhood, Route, and School Environments and Children's Active Commuting",FALSE,TRUE,TRUE,0.81,TRUE,"ured neighborhood and route factors are associated with walking and cycling to school. However, distance did not moderate the associations found here. Creating safe environments by improving urban design may influence children's commuting behavior. Intervention studies are needed to confirm the findings from this observational cross-sectional study. Â© 2010 American Journal of Preventive Medicine."
SCOPUS_ID:84905561636,10.1097/EDE.0000000000000143,Long-term exposure to crystalline silica and risk of heart disease mortality,FALSE,TRUE,TRUE,0.89,TRUE,"ociated with increased mortality from heart disease, including pulmonary heart disease and ischemic heart disease, whereas high-level exposure mainly increased mortality from pulmonary heart disease. Current permissible exposure limits for crystalline silica in many countries may be insufficient to protect people from deaths due to heart disease. Copyright Â© 2014 by Lippincott Williams & Wilkins."
SCOPUS_ID:85042868429,10.1136/jech-2017-209333,Longitudinal analysis of cardiovascular disease risk profile in neighbourhood poverty subgroups: 5-year results from an afterschool fitness programme in the USA,TRUE,FALSE,FALSE,0.16,FALSE," points (95% CI-25.32 to 2.61) for 1-5 years, respectively, in high/very high poverty areas. In contrast, significant improvements were found only for PACER score and waist-hip ratio in low/mid poverty areas. Conclusion This analysis presents compelling evidence demonstrating that park-based afterschool programmes can successfully maintain or improve at-risk youth CVD profiles over multiple years."
SCOPUS_ID:85169087027,10.1093/eurpub/ckad083,Impact of a sugar-sweetened beverage tax on sugar producers in Ukraine,TRUE,TRUE,FALSE,0.3,FALSE,"iven export trends. Due to highly protectionist sugar sector policy, sugar producers would not be able to fully substitute domestic sales revenues through increased export revenues, but the worst-case revenue gap was <0.5% of total sectoral output in recent years. Overall, introducing a tax on sugar-sweetened beverages in Ukraine is likely to have a very limited impact on domestic sugar producers."
SCOPUS_ID:84940038714,10.1097/EDE.0000000000000350,To Treat or to Prevent?: Reducing the Population Burden of Violence-related Post-traumatic Stress Disorder,FALSE,TRUE,TRUE,0.66,TRUE,"social determinants of mental illness and provide evidence-based treatment to those affected by psychiatric disorders can produce larger reductions in the population burden from violence-related PTSD than either preventive or treatment interventions alone. However, neither hot-spot policing nor CBT, alone or combined, will produce large shifts in the population prevalence of violence-related PTSD."
SCOPUS_ID:85148892048,10.1016/j.amepre.2023.01.039,Spillover After Mammography Guideline Change: Evidence From State-Level Trends,FALSE,FALSE,TRUE,0.61,TRUE,"ntation is difficult and important for controlling healthcare spending and delivering high value care. However, states most successful at reducing mammography screening rates among those aged 40â€“49 years and 75+ years also had greater reductions in recommended screening among women aged 50â€“74 years. More work is needed to understand and mitigate the unintended consequences of deimplementation."
SCOPUS_ID:0027319802,10.1016/s0749-3797(18)30729-3,Cost-effectiveness of two nurse-led programs to teach breast self- examination,FALSE,FALSE,TRUE,0.66,TRUE,"m. Cost- effectiveness was also sensitive to some costs, but generally these sensitivities did not alter the relative cost-effectiveness of the two programs. The cost of teaching BSE was substantial. Benefit, cost, and cost- effectiveness varied by program. Cost and cost-effectiveness analyses need to be incorporated into analyses of the appropriateness of including BSE in breast cancer screening."
